"conf","division","team","wins","playoff","div1","seed1","won_conf","won_sb","draft1","draft5"
"NFC","NFC West","LA",10.8,0.709,0.407,0.174,0.179,0.106,0.0016,0.0211
"NFC","NFC West","SEA",10.5,0.669,0.37,0.149,0.141,0.076,0.0032,0.0285
"NFC","NFC North","DET",10.5,0.659,0.375,0.132,0.115,0.06,0.0053,0.0397
"AFC","AFC East","BUF",10.4,0.723,0.519,0.155,0.146,0.075,0.004,0.0322
"AFC","AFC North","BAL",10.1,0.659,0.458,0.126,0.111,0.056,0.0047,0.046
"AFC","AFC South","HOU",9.9,0.645,0.398,0.114,0.105,0.052,0.0058,0.0472
"NFC","NFC East","PHI",9.9,0.607,0.444,0.094,0.107,0.055,0.0062,0.0582
"AFC","AFC West","DEN",9.8,0.635,0.386,0.108,0.116,0.058,0.0069,0.0546
"NFC","NFC North","GB",9.7,0.561,0.272,0.089,0.088,0.047,0.0049,0.0477
"AFC","AFC West","KC",9.7,0.62,0.365,0.1,0.1,0.047,0.0052,0.055
"AFC","AFC East","NE",9.5,0.594,0.362,0.095,0.088,0.04,0.0083,0.0668
"NFC","NFC West","SF",9.2,0.473,0.183,0.064,0.068,0.035,0.007,0.0702
"AFC","AFC South","JAX",9.2,0.54,0.294,0.075,0.082,0.04,0.0095,0.0844
"AFC","AFC South","IND",9,0.508,0.258,0.058,0.07,0.036,0.0124,0.0932
"NFC","NFC South","TB",8.9,0.507,0.392,0.057,0.054,0.025,0.0115,0.0978
"NFC","NFC North","MIN",8.8,0.426,0.184,0.046,0.051,0.023,0.0124,0.0948
"NFC","NFC North","CHI",8.6,0.402,0.169,0.049,0.043,0.02,0.0128,0.0999
"AFC","AFC North","PIT",8.4,0.44,0.226,0.048,0.049,0.022,0.0166,0.1265
"NFC","NFC East","DAL",8.4,0.404,0.244,0.04,0.042,0.019,0.016,0.1213
"AFC","AFC West","LAC",8.3,0.411,0.205,0.044,0.055,0.027,0.0138,0.1259
"NFC","NFC South","ATL",8.2,0.394,0.284,0.034,0.032,0.015,0.0266,0.1572
"AFC","AFC North","CIN",8.1,0.383,0.196,0.036,0.03,0.013,0.0297,0.1755
"NFC","NFC East","WAS",7.7,0.302,0.172,0.024,0.026,0.012,0.0313,0.1937
"AFC","AFC North","CLE",7.3,0.279,0.121,0.018,0.017,0.007,0.0565,0.264
"NFC","NFC East","NYG",7.3,0.25,0.14,0.015,0.017,0.007,0.0396,0.2266
"NFC","NFC South","CAR",7,0.256,0.171,0.016,0.014,0.006,0.0457,0.2499
"NFC","NFC South","NO",7,0.235,0.153,0.012,0.013,0.005,0.0633,0.289
"NFC","NFC West","ARI",6.4,0.146,0.04,0.007,0.011,0.005,0.0674,0.3173
"AFC","AFC East","MIA",6.1,0.171,0.073,0.009,0.011,0.004,0.09,0.3664
"AFC","AFC South","TEN",5.9,0.138,0.051,0.006,0.008,0.003,0.1112,0.435
"AFC","AFC West","LV",5.8,0.13,0.044,0.005,0.006,0.002,0.1219,0.44
"AFC","AFC East","NYJ",5.6,0.124,0.046,0.005,0.006,0.003,0.1487,0.4744
